,sojourn_time,cdf
0,0.0,4.440892098500626e-16
1,0.1,0.09114438552489501
2,0.2,0.17325391837039805
3,0.3,0.24731123877743477
4,0.4,0.3141822162134914
5,0.5,0.37463088489439467
6,0.6,0.4293323617238046
7,0.7,0.4788840296614678
8,0.8,0.5238152288266441
9,0.9,0.5645956628902022
10,1.0,0.60164269862787
11,1.1,0.6353277111491711
12,1.2,0.6659816056443033
13,1.3,0.6938996279619846
14,1.4,0.7193455604830896
15,1.5,0.7425553861941938
16,1.6,0.7637404922567856
17,1.7,0.7830904744263198
18,1.8,0.8007755951571124
19,1.9,0.8169489409269064
20,2.0,0.8317483180519365
21,2.1,0.8452979208886773
22,2.2,0.8577098017035695
23,2.3,0.8690851675271098
24,2.4,0.8795155259001334
25,2.5,0.8890836984879266
26,2.6,0.8978647190137258
27,2.7,0.9059266297888448
28,2.8,0.9133311892422974
29,2.9,0.920134501235733
30,3.0,0.9263875755533513
31,3.1,0.932136827750049
32,3.2,0.9374245254976874
33,3.3,0.9422891876662413
34,3.4,0.9467659415941173
35,3.5,0.9508868433233704
36,3.6,0.9546811649865115
37,3.7,0.9581756530197821
38,3.8,0.9613947604325734
39,3.9,0.9643608559750207
40,4.0,0.9670944127078921
41,4.1,0.9696141781840124
42,4.2,0.9719373281928383
43,4.3,0.9740796057944668
44,4.4,0.9760554471720355
45,4.5,0.9778780956584633
46,4.6,0.9795597051416168
47,4.7,0.9811114339185038
48,4.8,0.9825435299516352
49,4.9,0.983865408377201
50,5.0,0.9850857220233912
51,5.1,0.9862124256165391
52,5.2,0.9872528342814211
53,5.3,0.9882136768788627
54,5.4,0.9891011446677787
55,5.5,0.9899209357290253
56,5.6,0.9906782955442262
57,5.7,0.9913780540833594
58,5.8,0.9920246597198229
59,5.9,0.9926222102603762
60,6.0,0.9931744813494018
61,6.1,0.9936849524819003
62,6.2,0.9941568308372368
63,6.3,0.9945930731255659
64,6.4,0.9949964056208326
65,6.5,0.9953693425380474
66,6.6,0.9957142028979581
67,6.7,0.9960331260091164
68,6.8,0.9963280856855097
69,6.9,0.9966009033072516
70,7.0,0.9968532598221836
71,7.1,0.9970867067775261
72,7.2,0.9973026764628244
73,7.3,0.9975024912383019
74,7.4,0.9976873721162455
75,7.5,0.9978584466571855
76,7.6,0.9980167562372936
77,7.7,0.9981632627385769
78,7.8,0.998298854709046
79,7.9,0.9984243530360168
80,8.0,0.9985405161720681
81,8.1,0.9986480449498389
82,8.2,0.9987475870188287
83,8.3,0.9988397409345902
84,8.4,0.9989250599281848
85,8.5,0.9990040553814648
86,8.6,0.9990772000316364
87,8.7,0.9991449309266388
88,8.8,0.9992076521511077
89,8.9,0.9992657373410814
90,9.0,0.9993195320041345
91,9.1,0.9993693556602705
92,9.2,0.9994155038176684
93,9.3,0.9994582497962424
94,9.4,0.9994978464109344
95,9.5,0.9995345275257043
96,9.6,0.9995685094883083
97,9.7,0.9995999924551501
98,9.8,0.9996291616147538
99,9.9,0.9996561883177291
100,10.0,0.9996812311204755
101,11.0,0.9998500070110753
102,12.0,0.9999291229751547
103,13.0,0.9999663706238757
104,14.0,0.9999839799030988
105,15.0,0.9999923386407903
106,16.0,0.9999963220624466
107,17.0,0.999998227758062
108,18.0,0.9999991429210547
109,19.0,0.999999584039214
110,20.0,0.9999997974336263
111,21.0,0.9999999010284332
112,22.0,0.9999999514910517
113,23.0,0.9999999761527723
114,24.0,0.9999999882431279
115,25.0,0.999999994188147
116,26.0,0.9999999971197101
117,27.0,0.9999999985691765
118,28.0,0.9999999992876487
119,29.0,0.9999999996446208
120,30.0,0.9999999998223715
121,31.0,0.9999999999110611
122,32.0,0.9999999999553967
123,33.0,0.9999999999775983
124,34.0,0.9999999999887338
125,35.0,0.999999999994327
126,36.0,0.9999999999971403
127,37.0,0.9999999999985569
128,38.0,0.9999999999992711
129,39.0,0.9999999999996316
130,40.0,0.9999999999998136
131,41.0,0.9999999999999056
132,42.0,0.9999999999999523
133,43.0,0.9999999999999758
134,44.0,0.9999999999999877
135,45.0,0.9999999999999938
136,46.0,0.9999999999999969
137,47.0,0.9999999999999984
138,48.0,0.9999999999999992
139,49.0,0.9999999999999996
140,50.0,0.9999999999999998
141,55.0,1.0
142,60.0,1.0
143,65.0,1.0
144,70.0,1.0
145,75.0,1.0
146,80.0,1.0
147,85.0,1.0
148,90.0,1.0
149,95.0,1.0
150,100.0,1.0
151,110.0,1.0
152,120.0,1.0
153,130.0,1.0
154,140.0,1.0
155,150.0,1.0
156,160.0,1.0
157,170.0,1.0
158,180.0,1.0
