,simulation,run_time
0,0,0.2157268524169922
1,1,0.21268963813781738
2,2,0.2121882438659668
3,3,0.21623921394348145
4,4,0.21427011489868164
5,5,0.21560287475585938
6,6,0.21484732627868652
7,7,0.21575236320495605
8,8,0.2605128288269043
9,9,0.2150411605834961
10,10,0.21600079536437988
11,11,0.21652460098266602
12,12,0.21328043937683105
13,13,0.22595548629760742
14,14,0.21778011322021484
15,15,0.21494007110595703
16,16,0.21523523330688477
17,17,0.2157878875732422
18,18,0.27785348892211914
19,19,0.21283268928527832
20,20,0.21701455116271973
21,21,0.21686244010925293
22,22,0.21657156944274902
23,23,0.21911358833312988
24,24,0.21568989753723145
25,25,0.21645355224609375
26,26,0.21732330322265625
27,27,0.21419334411621094
28,28,0.2644329071044922
29,29,0.21703314781188965
30,30,0.21673798561096191
31,31,0.21541714668273926
32,32,0.2158975601196289
33,33,0.21912240982055664
34,34,0.21811652183532715
35,35,0.21668386459350586
36,36,0.21708345413208008
37,37,0.21774506568908691
38,38,0.34102940559387207
39,39,0.21703338623046875
