,simulation,run_time
0,0,0.27317333221435547
1,1,0.2736551761627197
2,2,0.2745354175567627
3,3,0.2746737003326416
4,4,0.2754988670349121
5,5,0.27669382095336914
6,6,0.290088415145874
7,7,0.2754974365234375
8,8,0.2765614986419678
9,9,0.32413697242736816
10,10,0.27115345001220703
11,11,0.27628588676452637
12,12,0.2756962776184082
13,13,0.27619481086730957
14,14,0.2773427963256836
15,15,0.276989221572876
16,16,0.27481627464294434
17,17,0.27423906326293945
18,18,0.2751166820526123
19,19,0.276228666305542
20,20,0.3184683322906494
21,21,0.2734551429748535
22,22,0.2751598358154297
23,23,0.2743682861328125
24,24,0.2754373550415039
25,25,0.2775723934173584
26,26,0.27699804306030273
27,27,0.275254487991333
28,28,0.27517151832580566
29,29,0.2764289379119873
30,30,0.2755160331726074
31,31,0.31673359870910645
32,32,0.27704453468322754
33,33,0.2768087387084961
34,34,0.27567362785339355
35,35,0.27634239196777344
36,36,0.2766690254211426
37,37,0.27718114852905273
38,38,0.2750277519226074
39,39,0.2754206657409668
