,R,rho,error A,error B,error C,error D,error E,error F,runtime A,runtime B,runtime C,runtime D,runtime E,runtime F
0,1,0.01,1.6124247832251997,0.7513425480369409,0.493998840081486,0.010740086968469363,0.15881021782304697,0.17672094138438027,444.11359741900003,418.54516064100005,55.662494305,94.650508572,94.928611375,26.267974739
1,1,0.02,1.5364856479024125,0.7134084645031051,0.4772685302113468,0.006958656592371312,0.1755988323962716,0.19280023154629372,462.640879453,492.657165103,69.034826737,94.75636180299999,94.844352113,25.615987154000003
2,1,0.03,1.4808487663345602,0.689493433534675,0.4724947930390828,0.006729620626342454,0.17475199169535605,0.190946002122871,481.86744392,484.5441483600002,71.486548637,94.486632444,94.6511771,25.913836153000002
3,1,0.04,1.4272363489920745,0.6631829476967491,0.4639586532018337,0.004009322919136722,0.17407673068656973,0.18931706168947096,482.0359886200001,479.40363878799997,85.380339201,96.43463283700001,96.196673616,25.874274863000004
4,1,0.05,1.380255515967794,0.6424542674491527,0.45942373400934616,0.004399452767743229,0.16886744383590618,0.18319711464479702,459.74531215799993,463.3900099070002,112.47602902899996,95.721036205,95.757401863,25.987315574
5,1,0.06,1.3232742021423238,0.6167298505408259,0.44948553644813366,0.004308734015439994,0.1756624127311072,0.1891169693478204,462.6627890079999,480.8096350830001,352.207685119,95.666759034,95.250271313,26.064082701999997
6,1,0.07,1.278430865049949,0.5981730776023395,0.44550570313145865,0.002399746784928935,0.17223386462980375,0.1848435749839436,469.16319010300003,490.6841192679999,465.276550969,94.99127654300005,95.408945046,25.788704786999997
7,1,0.08,1.2320962272552185,0.576238459071327,0.43725475856285556,0.002040896714898151,0.17212600840603387,0.18391739958696313,467.9647817390001,452.2870177699997,464.992052654,95.24981986200005,96.16246321100004,25.761709088000003
8,1,0.09,1.180621493759789,0.5532055379686144,0.4273310631755076,0.004662134403005357,0.17890660674988834,0.18990356592273222,461.3984569910003,478.1274962960006,473.6626638580001,94.94256285499996,95.32783284500003,25.885291931999998
9,1,0.1,1.141660111104555,0.5348895859674091,0.42071391250116225,0.0020521524736922905,0.17484501737172223,0.18506959574221676,475.68744680600054,450.0703049120002,478.6733226739998,95.54696326299995,95.877782184,94.55204857800005
10,1,0.11,1.097865001392594,0.5148137831265709,0.41194644064143043,0.0020377587144938497,0.17721476942518685,0.18668777940739006,467.7004292579995,472.69318043400017,483.50259776900015,95.21696751100001,95.17238260299996,93.25008483199996
