,sojourn_time,cdf
0,0.0,0.0
1,0.1,0.08918390297319378
2,0.2,0.1699379766490272
3,0.3,0.24311048273174618
4,0.4,0.3094590774278302
5,0.5,0.36966099208160685
6,0.6,0.4243220245152681
7,0.7,0.47398448389916004
8,0.8,0.5191342145045875
9,0.9,0.5602068083813032
10,1.0,0.597593103585401
11,1.1,0.6316440528244383
12,1.2,0.6626750370787503
13,1.3,0.6909696897204505
14,1.4,0.716783288726511
15,1.5,0.7403457676313223
16,1.6,0.7618643897662601
17,1.7,0.7815261249832252
18,1.8,0.799499763363194
19,1.9,0.8159377962885137
20,2.0,0.8309780916379883
21,2.1,0.8447453866846886
22,2.2,0.857352619483456
23,2.3,0.8689021170807043
24,2.4,0.8794866567216507
25,2.5,0.8891904143330396
26,2.6,0.898089812890809
27,2.7,0.9062542818139622
28,2.8,0.9137469372336555
29,2.9,0.9206251918486742
30,3.0,0.926941302076235
31,3.1,0.9327428593239077
32,3.2,0.93807323142992
33,3.3,0.9429719596325358
34,3.4,0.9474751158234145
35,3.5,0.9516156243051616
36,3.6,0.9554235518010668
37,3.7,0.9589263690478135
38,3.8,0.9621491869331316
39,3.9,0.9651149698141693
40,4.0,0.9678447283637065
41,4.1,0.970357694035747
42,4.2,0.972671477015612
43,4.3,0.9748022093189397
44,4.4,0.9767646745259845
45,4.5,0.9785724254796005
46,4.6,0.9802378911349906
47,4.7,0.9817724736246054
48,4.8,0.9831866364906997
49,4.9,0.9844899849393917
50,5.0,0.9856913388822073
51,5.1,0.9867987994528157
52,5.2,0.9878198096168426
53,5.3,0.9887612094303636
54,5.4,0.9896292864470441
55,5.5,0.9904298217241833
56,5.6,0.9911681318334559
57,5.7,0.991849107242355
58,5.8,0.9924772473966946
59,5.9,0.9930566928025846
60,6.0,0.9935912543776277
61,6.1,0.994084440315361
62,6.2,0.9945394806838439
63,6.3,0.9949593499585117
64,6.4,0.9953467876707096
65,6.5,0.9957043173364778
66,6.6,0.9960342638149783
67,6.7,0.9963387692322675
68,6.8,0.9966198075937558
69,6.9,0.9968791981975416
70,7.0,0.9971186179507107
71,7.1,0.9973396126815732
72,7.2,0.9975436075325421
73,7.3,0.9977319165108798
74,7.4,0.9979057512677508
75,7.5,0.9980662291698672
76,7.6,0.9982143807224265
77,7.7,0.9983511563969678
78,7.8,0.9984774329131608
79,7.9,0.9985940190193471
80,8.0,0.9987016608128364
81,8.1,0.9988010466374858
82,8.2,0.9988928115929209
83,8.3,0.9989775416868744
84,8.4,0.9990557776594805
85,8.5,0.9991280185059643
86,8.6,0.9991947247219671
87,8.7,0.9992563212937486
88,8.8,0.9993132004536703
89,8.9,0.9993657242196939
90,9.0,0.9994142267360904
91,9.1,0.9994590164311591
92,9.2,0.9995003780064666
93,9.3,0.9995385742709422
94,9.4,0.9995738478320872
95,9.5,0.9996064226555691
96,9.6,0.999636505503562
97,9.7,0.9996642872613696
98,9.8,0.9996899441610974
99,9.9,0.9997136389104471
100,10.0,0.9997355217340586
101,11.0,0.999880536872734
102,12.0,0.9999460261808472
103,13.0,0.9999756110601046
104,14.0,0.9999889785832156
105,15.0,0.9999950191683881
106,16.0,0.9999977489884067
107,17.0,0.9999989826739433
108,18.0,0.9999995402239211
109,19.0,0.9999997922051695
110,20.0,0.9999999060872956
111,21.0,0.99999995755616
112,22.0,0.9999999808174915
113,23.0,0.9999999913304538
114,24.0,0.9999999960817921
115,25.0,0.9999999982291627
116,26.0,0.9999999991996685
117,27.0,0.9999999996382894
118,28.0,0.9999999998365247
119,29.0,0.9999999999261171
120,30.0,0.9999999999666086
121,31.0,0.9999999999849087
122,32.0,0.9999999999931795
123,33.0,0.9999999999969175
124,34.0,0.9999999999986069
125,35.0,0.9999999999993704
126,36.0,0.9999999999997154
127,37.0,0.9999999999998714
128,38.0,0.9999999999999418
129,39.0,0.9999999999999737
130,40.0,0.9999999999999881
131,41.0,0.9999999999999947
132,42.0,0.9999999999999976
133,43.0,0.9999999999999989
134,44.0,0.9999999999999996
135,45.0,0.9999999999999998
136,46.0,0.9999999999999999
137,47.0,1.0
138,48.0,1.0
139,49.0,1.0
140,50.0,1.0
141,55.0,1.0
142,60.0,1.0
143,65.0,1.0
144,70.0,1.0
145,75.0,1.0
146,80.0,1.0
147,85.0,1.0
148,90.0,1.0
149,95.0,1.0
150,100.0,1.0
151,110.0,1.0
152,120.0,1.0
153,130.0,1.0
154,140.0,1.0
155,150.0,1.0
156,160.0,1.0
157,170.0,1.0
158,180.0,1.0
