,w_exp,w_M1,w_M2,rhos,mc_limit
0,0.0001352619042392324,0.00044690624955197284,0.00028943447355336827,0.05,2
1,0.0001352619042392324,0.0004469625436699689,0.00028943447355336827,0.05,3
2,0.0001352619042392324,0.0004469625609897256,0.00028943447355336827,0.05,4
3,0.0001352619042392324,0.00044696256099302067,0.00028943447355336827,0.05,5
4,0.0001352619042392324,0.00044696256099333026,0.00028943447355336827,0.05,6
5,0.0001352619042392324,0.0004469625609947928,0.00028943447355336827,0.05,7
6,0.0001352619042392324,0.00044696256099809853,0.00028943447355336827,0.05,8
7,0.0001352619042392324,0.0004469625610037137,0.00028943447355336827,0.05,9
8,0.0001352619042392324,0.00044696256101276984,0.00028943447355336827,0.05,10
9,0.0001352619042392324,0.00044696256102632736,0.00028943447355336827,0.05,11
10,0.0001352619042392324,0.0004469625610454894,0.00028943447355336827,0.05,12
11,0.0001352619042392324,0.0004469625610720209,0.00028943447355336827,0.05,13
12,0.00018589334212328163,0.0013615616814667694,0.0011758562685733366,0.1,2
13,0.00018589334212328163,0.0013641622479104577,0.0011758562685733366,0.1,3
14,0.00018589334212328163,0.0013641679817009015,0.0011758562685733366,0.1,4
15,0.00018589334212328163,0.0013641679909409746,0.0011758562685733366,0.1,5
16,0.00018589334212328163,0.001364167990956621,0.0011758562685733366,0.1,6
17,0.00018589334212328163,0.0013641679909631222,0.0011758562685733366,0.1,7
18,0.00018589334212328163,0.0013641679909769358,0.0011758562685733366,0.1,8
19,0.00018589334212328163,0.0013641679910015422,0.0011758562685733366,0.1,9
20,0.00018589334212328163,0.0013641679910448802,0.0011758562685733366,0.1,10
21,0.00018589334212328163,0.0013641679911043304,0.0011758562685733366,0.1,11
22,0.00018589334212328163,0.0013641679912253482,0.0011758562685733366,0.1,12
23,0.00018589334212328163,0.0013641679913701755,0.0011758562685733366,0.1,13
24,0.00024295494073278402,0.0025762341735845397,0.0025409341558164968,0.15,2
25,0.00024295494073278402,0.00259891495461872,0.0025409341558164968,0.15,3
26,0.00024295494073278402,0.0025990749337293484,0.0025409341558164968,0.15,4
27,0.00024295494073278402,0.0025990757735709206,0.0025409341558164968,0.15,5
28,0.00024295494073278402,0.0025990757775187384,0.0025409341558164968,0.15,6
29,0.00024295494073278402,0.002599075777534591,0.0025409341558164968,0.15,7
30,0.00024295494073278402,0.002599075777534296,0.0025409341558164968,0.15,8
31,0.00024295494073278402,0.0025990757775351783,0.0025409341558164968,0.15,9
32,0.00024295494073278402,0.0025990757775368615,0.0025409341558164968,0.15,10
33,0.00024295494073278402,0.002599075777543626,0.0025409341558164968,0.15,11
34,0.00024295494073278402,0.0025990757775490063,0.0025409341558164968,0.15,12
35,0.00024295494073278402,0.0025990757775571694,0.0025409341558164968,0.15,13
36,0.0006491246379603126,0.003771555415219671,0.004534337786984768,0.2,2
37,0.0006491246379603126,0.0038752328792887323,0.004534337786984768,0.2,3
38,0.0006491246379603126,0.003876905920857915,0.004534337786984768,0.2,4
39,0.0006491246379603126,0.003876926197074618,0.004534337786984768,0.2,5
40,0.0006491246379603126,0.0038769264194522222,0.004534337786984768,0.2,6
41,0.0006491246379603126,0.0038769264217469964,0.004534337786984768,0.2,7
42,0.0006491246379603126,0.0038769264217482276,0.004534337786984768,0.2,8
43,0.0006491246379603126,0.0038769264217710653,0.004534337786984768,0.2,9
44,0.0006491246379603126,0.0038769264217464092,0.004534337786984768,0.2,10
45,0.0006491246379603126,0.003876926421764564,0.004534337786984768,0.2,11
46,0.0006491246379603126,0.003876926421778634,0.004534337786984768,0.2,12
47,0.0006491246379603126,0.003876926421800134,0.004534337786984768,0.2,13
48,0.002211080832943626,0.004569042586411482,0.007236835750359595,0.25,2
49,0.002211080832943626,0.004900848796741725,0.007236835750359595,0.25,3
50,0.002211080832943626,0.004911048681051195,0.007236835750359595,0.25,4
51,0.002211080832943626,0.004911285293027884,0.007236835750359595,0.25,5
52,0.002211080832943626,0.004911290295813043,0.007236835750359595,0.25,6
53,0.002211080832943626,0.00491129039577035,0.007236835750359595,0.25,7
54,0.002211080832943626,0.004911290397678368,0.007236835750359595,0.25,8
55,0.002211080832943626,0.004911290397684496,0.007236835750359595,0.25,9
56,0.002211080832943626,0.004911290397665981,0.007236835750359595,0.25,10
57,0.002211080832943626,0.004911290397640361,0.007236835750359595,0.25,11
58,0.002211080832943626,0.0049112903976542745,0.007236835750359595,0.25,12
59,0.002211080832943626,0.004911290397695399,0.007236835750359595,0.25,13
60,0.004830319955008168,0.004907822586942088,0.010391585602156141,0.3,2
61,0.004830319955008168,0.005748404548623145,0.010391585602156141,0.3,3
62,0.004830319955008168,0.005792179229391282,0.010391585602156141,0.3,4
63,0.004830319955008168,0.005793905366769414,0.010391585602156141,0.3,5
64,0.004830319955008168,0.005793967621933045,0.010391585602156141,0.3,6
65,0.004830319955008168,0.00579396974944598,0.010391585602156141,0.3,7
66,0.004830319955008168,0.005793969819261593,0.010391585602156141,0.3,8
67,0.004830319955008168,0.005793969821456981,0.010391585602156141,0.3,9
68,0.004830319955008168,0.005793969821415165,0.010391585602156141,0.3,10
69,0.004830319955008168,0.0057939698214166,0.010391585602156141,0.3,11
70,0.004830319955008168,0.005793969821324629,0.010391585602156141,0.3,12
71,0.004830319955008168,0.005793969821359598,0.010391585602156141,0.3,13
72,0.008703709080123,0.004625794753763008,0.013756908916777305,0.35,2
73,0.008703709080123,0.006442313625938366,0.013756908916777305,0.35,3
74,0.008703709080123,0.006590379414562968,0.013756908916777305,0.35,4
75,0.008703709080123,0.006599560966253115,0.013756908916777305,0.35,5
76,0.008703709080123,0.006600083094616662,0.013756908916777305,0.35,6
77,0.008703709080123,0.006600111335290058,0.013756908916777305,0.35,7
78,0.008703709080123,0.006600112807398235,0.013756908916777305,0.35,8
79,0.008703709080123,0.006600112881893342,0.013756908916777305,0.35,9
80,0.008703709080123,0.00660011288589254,0.013756908916777305,0.35,10
81,0.008703709080123,0.006600112886164406,0.013756908916777305,0.35,11
82,0.008703709080123,0.006600112886389596,0.013756908916777305,0.35,12
83,0.008703709080123,0.006600112886801414,0.013756908916777305,0.35,13
84,0.014134216858913086,0.0035478164124632798,0.017120672430857388,0.39999999999999997,2
85,0.014134216858913086,0.006944836523874884,0.017120672430857388,0.39999999999999997,3
86,0.014134216858913086,0.00735828643443052,0.017120672430857388,0.39999999999999997,4
87,0.014134216858913086,0.007396223631550494,0.017120672430857388,0.39999999999999997,5
88,0.014134216858913086,0.007399416196108768,0.017120672430857388,0.39999999999999997,6
89,0.014134216858913086,0.007399671984254906,0.017120672430857388,0.39999999999999997,7
90,0.014134216858913086,0.00739969174377193,0.017120672430857388,0.39999999999999997,8
91,0.014134216858913086,0.007399693225841849,0.017120672430857388,0.39999999999999997,9
92,0.014134216858913086,0.007399693335535941,0.017120672430857388,0.39999999999999997,10
93,0.014134216858913086,0.007399693343352146,0.017120672430857388,0.39999999999999997,11
94,0.014134216858913086,0.0073996933456259755,0.017120672430857388,0.39999999999999997,12
95,0.014134216858913086,0.007399693348157081,0.017120672430857388,0.39999999999999997,13
96,0.022269450188246147,0.0014124301091382452,0.02099847180675493,0.44999999999999996,2
97,0.022269450188246147,0.006294032587313831,0.02099847180675493,0.44999999999999996,3
98,0.022269450188246147,0.007288282485370728,0.02099847180675493,0.44999999999999996,4
99,0.022269450188246147,0.007417227088608745,0.02099847180675493,0.44999999999999996,5
100,0.022269450188246147,0.007432556541569334,0.02099847180675493,0.44999999999999996,6
101,0.022269450188246147,0.007434291637833237,0.02099847180675493,0.44999999999999996,7
102,0.022269450188246147,0.007434480971729078,0.02099847180675493,0.44999999999999996,8
103,0.022269450188246147,0.007434501032498861,0.02099847180675493,0.44999999999999996,9
104,0.022269450188246147,0.007434503107374563,0.02099847180675493,0.44999999999999996,10
