,simulation,run_time
0,0,0.10260605812072754
1,1,0.11771607398986816
2,2,0.10503792762756348
3,3,0.11516594886779785
4,4,0.12224507331848145
5,5,0.11372137069702148
6,6,0.09637093544006348
7,7,0.11181426048278809
8,8,0.10762333869934082
9,9,0.12739181518554688
10,10,0.11931037902832031
11,11,0.11437273025512695
12,12,0.12552928924560547
13,13,0.1037435531616211
14,14,0.11962890625
15,15,0.1154017448425293
16,16,0.09586143493652344
17,17,0.10829377174377441
18,18,0.11121749877929688
19,19,0.11587929725646973
20,20,0.11284232139587402
21,21,0.13697409629821777
22,22,0.1434338092803955
23,23,0.11517095565795898
24,24,0.09546089172363281
25,25,0.11719989776611328
26,26,0.09578299522399902
27,27,0.11225438117980957
28,28,0.11273813247680664
29,29,0.12773394584655762
30,30,0.11235404014587402
31,31,0.12862753868103027
32,32,0.1143791675567627
33,33,0.13292479515075684
34,34,0.09629321098327637
35,35,0.11159753799438477
36,36,0.11734509468078613
37,37,0.11015176773071289
38,38,0.12184453010559082
39,39,0.11501646041870117
