,simulation,run_time
0,0,0.6127748489379883
1,1,0.6298389434814453
2,2,0.6811151504516602
3,3,0.6259441375732422
4,4,0.6610860824584961
5,5,0.6126558780670166
6,6,0.5919346809387207
7,7,0.6463744640350342
8,8,0.6750974655151367
9,9,0.6193664073944092
10,10,0.6160669326782227
11,11,0.6253640651702881
12,12,0.6745755672454834
13,13,0.606917142868042
14,14,0.6757466793060303
15,15,0.6344099044799805
16,16,0.6365439891815186
17,17,0.6849126815795898
18,18,0.695857048034668
19,19,0.6096973419189453
20,20,0.6347441673278809
21,21,0.6017751693725586
22,22,0.6206018924713135
23,23,0.6571099758148193
24,24,0.6203718185424805
25,25,0.5966298580169678
26,26,0.6285710334777832
27,27,0.6107356548309326
28,28,0.6506497859954834
29,29,0.6107492446899414
30,30,0.6214096546173096
31,31,0.6426360607147217
32,32,0.652122974395752
33,33,0.6321437358856201
34,34,0.6985595226287842
35,35,0.655543327331543
36,36,0.6514439582824707
37,37,0.6366395950317383
38,38,0.6664214134216309
39,39,0.6952574253082275
