,sojourn_time,cdf
0,0.0,0.0
1,0.1,0.09236896612547385
2,0.2,0.17539492080266128
3,0.3,0.2501282873362698
4,0.4,0.3174886125212898
5,0.5,0.3782822938717997
6,0.6,0.43321776037702764
7,0.7,0.4829184865488827
8,0.8,0.5279341615907174
9,0.9,0.5687502865406371
10,1.0,0.6057964308280037
11,1.1,0.6394533446511507
12,1.2,0.6700590939445746
13,1.3,0.6979143596170929
14,1.4,0.7232870215018345
15,1.5,0.7464161294680884
16,1.6,0.7675153489006223
17,1.7,0.7867759548294352
18,1.8,0.8043694380333722
19,1.9,0.8204497771419643
20,2.0,0.8351554228656091
21,2.1,0.8486110337789068
22,2.2,0.8609289973832435
23,2.3,0.8722107653284817
24,2.4,0.882548027549661
25,2.5,0.8920237465628434
26,2.6,0.9007130701716112
27,2.7,0.9086841382834749
28,2.8,0.9159987973570389
29,2.9,0.9227132341397819
30,3.0,0.9288785387650823
31,3.1,0.9345412059152092
32,3.2,0.939743581590202
33,3.3,0.9445242620218623
34,3.4,0.9489184504128736
35,3.5,0.9529582764425018
36,3.6,0.9566730828446898
37,3.7,0.9600896828166176
38,3.8,0.9632325915431812
39,3.9,0.9661242347144942
40,4.0,0.9687851365601916
41,4.1,0.9712340896181783
42,4.2,0.9734883081897888
43,4.3,0.9755635672024433
44,4.4,0.9774743279998949
45,4.5,0.9792338524049422
46,4.6,0.9808543062464564
47,4.7,0.9823468534087259
48,4.8,0.9837217413438455
49,4.9,0.9849883788849529
50,5.0,0.9861554071076292
51,5.1,0.9872307639070969
52,5.2,0.9882217428885613
53,5.3,0.9891350471059283
54,5.4,0.9899768381291627
55,5.5,0.9907527808718153
56,5.6,0.9914680845669639
57,5.7,0.9921275402413258
58,5.8,0.9927355550029979
59,5.9,0.9932961834276897
60,6.0,0.993813156300963
61,6.1,0.9942899069495318
62,6.2,0.9947295953727346
63,6.3,0.9951351303656201
64,6.4,0.9955091898073912
65,6.5,0.9958542392730438
66,6.6,0.9961725491116931
67,6.7,0.9964662101221478
68,6.8,0.9967371479446128
69,6.9,0.9969871362768394
70,7.0,0.9972178090134873
71,7.1,0.9974306713988037
72,7.2,0.9976271102748757
73,7.3,0.9978084035005877
74,7.4,0.9979757286099413
75,7.5,0.9981301707725149
76,7.6,0.9982727301134844
77,7.7,0.9984043284457556
78,7.8,0.9985258154623136
79,7.9,0.9986379744328534
80,8.0,0.9987415274450564
81,8.1,0.9988371402275095
82,8.2,0.9989254265881855
83,8.3,0.9990069524995895
84,8.4,0.9990822398591029
85,8.5,0.9991517699507096
86,8.6,0.9992159866321296
87,8.7,0.9992752992694226
88,8.8,0.9993300854393148
89,8.9,0.9993806934178531
90,9.0,0.9994274444724739
91,9.1,0.9994706349731886
92,9.2,0.9995105383373125
93,9.3,0.9995474068209993
94,9.4,0.9995814731697679
95,9.5,0.9996129521392318
96,9.6,0.9996420418963344
97,9.7,0.9996689253105665
98,9.8,0.9996937711438836
99,9.9,0.9997167351473404
100,10.0,0.9997379610718187
101,11.0,0.9998793357031545
102,12.0,0.9999440817592361
103,13.0,0.9999739158634274
104,14.0,0.9999877506746585
105,15.0,0.9999942084438861
106,16.0,0.9999972430689869
107,17.0,0.9999986788023042
108,18.0,0.9999993626924805
109,19.0,0.9999996906395094
110,20.0,0.9999998489285915
111,21.0,0.9999999258098979
112,22.0,0.9999999633744246
113,23.0,0.9999999818316071
114,24.0,0.9999999909477397
115,25.0,0.9999999954718357
116,26.0,0.9999999977268212
117,27.0,0.9999999988552213
118,28.0,0.9999999994218676
119,29.0,0.9999999997073122
120,30.0,0.9999999998515023
121,31.0,0.9999999999245164
122,32.0,0.9999999999615677
123,33.0,0.9999999999804047
124,34.0,0.9999999999899967
125,35.0,0.999999999994888
126,36.0,0.9999999999973853
127,37.0,0.9999999999986615
128,38.0,0.9999999999993144
129,39.0,0.9999999999996486
130,40.0,0.9999999999998198
131,41.0,0.9999999999999075
132,42.0,0.9999999999999526
133,43.0,0.9999999999999757
134,44.0,0.9999999999999875
135,45.0,0.9999999999999936
136,46.0,0.9999999999999967
137,47.0,0.9999999999999983
138,48.0,0.9999999999999991
139,49.0,0.9999999999999996
140,50.0,0.9999999999999998
141,55.0,1.0
142,60.0,1.0
143,65.0,1.0
144,70.0,1.0
145,75.0,1.0
146,80.0,1.0
147,85.0,1.0
148,90.0,1.0
149,95.0,1.0
150,100.0,1.0
151,110.0,1.0
152,120.0,1.0
153,130.0,1.0
154,140.0,1.0
155,150.0,1.0
156,160.0,1.0
157,170.0,1.0
158,180.0,1.0
