,R,rho,error A,error B,error C,error D,error E,error F,runtime A,runtime B,runtime C,runtime D,runtime E,runtime F
0,1,0.01,82.84404559523979,82.84404559523976,6.794929785440112,0.0209892476743297,0.020989247674329664,0.12010686997784323,692.8316756520001,692.786003786,672.2820672070001,7155.056367331,8215.606910045999,8720.385365391001
1,1,0.02,47.70462068461108,47.70462068461108,6.582147426981443,0.021217506888112005,0.0212175068881119,0.09558341245061876,525.353909456,521.4250795649999,499.094383247,7271.758161876,8190.054165756001,8101.624850466002
2,1,0.03,32.19838707403819,32.198387074038195,6.353400907287511,0.02160483386456373,0.021604833864563588,0.08756159392743414,437.858717313,437.9618508690001,428.2586782590001,7489.081900663001,8175.931888051,8235.984728646003
3,1,0.04,23.982096505871272,23.982096505871272,6.126343520588117,0.019865844162283226,0.01986584416228274,0.0828992450062501,391.4792793869997,394.30647815500015,378.394527961,7625.550101414003,7929.471987271001,8198.455907160002
4,1,0.05,18.998589174879317,18.99858917487932,5.913561767604172,0.02697566449844519,0.026975664498445344,0.07009034722432149,366.4537224370001,363.4893992289999,350.313871868,7591.359248253997,7722.485516107001,8280.884707636003
5,1,0.06,15.656377410869773,15.656377410869778,5.695270556629611,0.02147874312333058,0.0214787431233301,0.07034292672165551,346.52799014400034,346.2250516160002,339.91405579699995,7550.405901936996,7783.275663086999,8376.077670167004
6,1,0.07,13.272935220269185,13.272935220269185,5.492237388530982,0.023976000694737876,0.0239760006947384,0.06287688390571448,245.51418699299984,249.0920075959998,324.87039863699965,7214.794293850995,7576.4150607830015,8294.960932096998
7,1,0.08,11.485457040022576,11.48545704002258,5.2973696200623035,0.027395958419193314,0.027395958419192262,0.05483948054163168,326.2464211300003,325.3134548850003,324.01536860299984,7010.51149705,8037.384643657002,8289.691527642994
8,1,0.09,10.095405394039965,10.095405394039963,5.110191858771876,0.031712383331217175,0.031712383331214324,0.04699559790668932,316.9400930290003,317.7564760280002,307.88379365499986,6952.483035929996,8739.997348154997,8294.29376841501
9,1,0.1,8.977919384875092,8.977919384875092,4.924615981115554,0.031117443217649098,0.031117443217648796,0.04244234680182981,314.706424382,316.1886386179999,309.565363574,7043.745243186,8196.393256191,9050.053359915
10,1,0.11,8.067827555172494,8.067827555172494,4.750931607073978,0.035229230342592406,0.035229230342592135,0.03572261599822535,308.228715663,308.6047388820002,305.33067864500026,6922.899301066995,8236.893788935002,8886.609862104
11,1,0.12,7.304621811838595,7.304621811838602,4.578825283502335,0.03525816017819274,0.035258160178190306,0.031980145340208155,302.4680014489996,309.35751890400024,289.5497242370002,6840.405141523996,8170.792411416998,8793.049314867
12,1,0.13,6.660374632117902,6.660374632117904,4.415023931064294,0.03769671413776429,0.03769671413776782,0.027898378745782368,246.596536905,249.4983711920004,292.0771037670001,7087.699593675003,7886.532808863001,8817.452231594001
13,1,0.14,6.099351943560288,6.099351943560288,4.248467106209918,0.03191006843946164,0.0319100684394602,0.024199367827084525,295.28471247200014,291.5730228819993,295.22200431300007,7097.489555654,7670.717795230001,8724.486751903001
14,1,0.15,5.620378438676843,5.620378438676843,4.096007793377424,0.03483929723496509,0.03483929723496747,0.02163057618449984,247.4711406099996,250.16070486700028,287.07539346500016,7045.817774547992,7750.630380766997,8842.436053144003
15,1,0.16,5.198143941355442,5.198143941355441,3.9458028499369266,0.03512740736797209,0.03512740736797538,0.020680033766740068,251.380115596,247.8478578309996,269.6398748219999,7086.067102896006,7592.663151651002,8825.073588353
16,1,0.17,4.822769226748337,4.822769226748337,3.7982266393973885,0.03333412414019488,0.033334124140195626,0.01677240919524635,288.54626742300024,288.0962337159999,273.7713786589993,6941.701447587009,8128.929753557997,8328.482514843003
17,1,0.18,4.488947246210905,4.4889472462109055,3.655910096524833,0.032318019879143615,0.03231801987914545,0.01707489136563869,281.51181673500014,287.3640527839998,273.3271233120004,6901.840352796004,8675.766367603006,8378.20650657601
18,1,0.19,4.182466504018867,4.18246650401887,3.5108777684851997,0.024480982992103727,0.024480982992106607,0.015798185996991513,279.0015051600003,286.672370708,292.8272991410004,7312.022445272014,8229.60962472,8221.186162988
19,1,0.2,3.911238874515823,3.9112388745158286,3.376004622692309,0.02252305384883164,0.022523053848836988,0.013285185008546068,273.59939827499966,282.804110389,283.28793798399965,7209.950067724974,8218.406894661,8214.728451798
20,1,0.21,3.6670401477724113,3.6670401477724215,3.2470625163467584,0.02259686905865432,0.022596869058672153,0.011328706557238244,271.274948106,276.946247289,276.20576742999947,6751.363670399995,8186.130596814,8329.230332021001
21,1,0.22,3.444129657925827,3.4441296579258562,3.1215618896673574,0.022421615676430945,0.02242161567646992,0.009160712226663474,270.7454858889996,279.37388482999995,282.4844422939996,6342.628709218989,7951.467432550002,8243.080892138998
